repo,language,stars,url,ci_status,build_tool,is_buildable,primary_ci,first_buildable_sha,first_buildable_date
flannel-io/flannel,Go,9403,https://github.com/flannel-io/flannel,NO_CI,GoModules,True,GitHub Actions,a9297258eb75f3bc8f46b6937419ab89c0b3d0eb,2025-01-01T12:21:35Z
prometheus-operator/prometheus-operator,Go,9845,https://github.com/prometheus-operator/prometheus-operator,NO_CI,GoModules,True,GitHub Actions,0f9962aa8f25d853f07ddfcfcfcbbb1e87feaeb6,2025-01-02T12:11:43Z
coreybutler/nvm-windows,Go,44880,https://github.com/coreybutler/nvm-windows,FAILURE,Unknown,False,GitHub Actions,28c3aa87170c4c2067510a0e9324918df3caee85,2024-11-14T04:24:54Z
cortexproject/cortex,Go,5747,https://github.com/cortexproject/cortex,SUCCESS,GoModules,True,GitHub Actions,7872e1af1ce6241330153f78f51a25197a4d74cc,2024-12-24T12:49:22Z
cosmos/cosmos-sdk,Go,6933,https://github.com/cosmos/cosmos-sdk,FAILURE,GoModules,True,GitHub Actions,dafa93f05ddb8da4fe6ad3c332784734a37a7162,2024-12-30T13:17:27Z
crazy-max/WindowsSpyBlocker,Go,5060,https://github.com/crazy-max/WindowsSpyBlocker,SUCCESS,GoModules,True,GitHub Actions,16af8613758ded68e94f328f6070651dc4d061be,2025-02-02T14:19:40Z
cri-o/cri-o,Go,5574,https://github.com/cri-o/cri-o,SUCCESS,GoModules,True,GitHub Actions,6e0df092481dce1c518db2785a03ae2c97d18c19,2024-12-20T08:13:43Z
crossplane/crossplane,Go,11393,https://github.com/crossplane/crossplane,FAILURE,GoModules,True,GitHub Actions,4addd41c551aa6c6164348ca0413ae68790de260,2024-12-09T23:58:17Z
cweill/gotests,Go,5275,https://github.com/cweill/gotests,SUCCESS,GoModules,True,GitHub Actions,328abf4fb039e475f858d7f3acca6eec3d34031c,2025-10-21T01:57:18Z
d5/tengo,Go,3772,https://github.com/d5/tengo,SUCCESS,GoModules,True,GitHub Actions,e78e18a0f6f90ab659edc5fe5e8b812825ccb5a4,2025-05-24T16:13:24Z
dapr/dapr,Go,25481,https://github.com/dapr/dapr,FAILURE,GoModules,True,GitHub Actions,e0afe517a9e2542e122631bfdb4b5be86eda12ee,2025-01-19T21:27:03Z
dariubs/GoBooks,Go,19130,https://github.com/dariubs/GoBooks,SUCCESS,Unknown,False,GitHub Actions,60cf0b8ccf913d67e610465a083455a12e077723,2026-02-07T14:30:44Z
davecheney/httpstat,Go,7210,https://github.com/davecheney/httpstat,SUCCESS,GoModules,True,GitHub Actions,c64e6dee9402449a92375ec361f6c9ebaddc9a9e,2025-01-11T03:45:08Z
derailed/k9s,Go,32739,https://github.com/derailed/k9s,SUCCESS,GoModules,True,GitHub Actions,43408da8128ce14d855ce8b8f574138c3af46f86,2025-01-28T15:23:04Z
derailed/popeye,Go,6228,https://github.com/derailed/popeye,SUCCESS,GoModules,True,GitHub Actions,4d6af588092c1beb5caa7313826355f0b9740dbb,2024-12-26T15:26:19Z
luraproject/lura,Go,6731,https://github.com/luraproject/lura,SUCCESS,GoModules,True,GitHub Actions,0975ec077a82c966188a8cf9423fb73caa87c08e,2024-10-28T14:24:24Z
dexidp/dex,Go,10576,https://github.com/dexidp/dex,SUCCESS,GoModules,True,GitHub Actions,38309ed94d31a35a73e1377b63cac5f4faab6e0d,2024-12-20T09:12:38Z
dgraph-io/badger,Go,15461,https://github.com/dgraph-io/badger,SUCCESS,GoModules,True,GitHub Actions,64b2f3736e24c16219b0e74f826d46c7187d6f46,2025-01-21T18:18:27Z
dgraph-io/dgraph,Go,21515,https://github.com/dgraph-io/dgraph,SUCCESS,GoModules,True,GitHub Actions,d4755a536688d809e55dad6c7cada6b96442b405,2024-12-26T05:34:09Z
dgraph-io/ristretto,Go,6754,https://github.com/dgraph-io/ristretto,SUCCESS,GoModules,True,GitHub Actions,1c1c87651d0a0a313559939687663c42d188e57f,2024-12-27T19:09:23Z
digitalocean/doctl,Go,3392,https://github.com/digitalocean/doctl,SUCCESS,GoModules,True,GitHub Actions,0022e5828f2dcdeff6a0df52c5802c04ec0c4619,2024-12-11T20:15:52Z
direnv/direnv,Go,14641,https://github.com/direnv/direnv,SUCCESS,GoModules,True,GitHub Actions,29df55713c253e3da14b733da283f03485285cea,2024-12-25T15:10:15Z
dkron-io/dkron,Go,4668,https://github.com/dkron-io/dkron,FAILURE,GoModules,True,GitHub Actions,45a68044c8f85048727ca523d88a654617df854c,2025-01-02T11:35:11Z
DNSCrypt/dnscrypt-proxy,Go,12971,https://github.com/DNSCrypt/dnscrypt-proxy,FAILURE,GoModules,True,GitHub Actions,57c69937a0e4e375626044e20503327aaa08de93,2024-12-19T07:45:12Z
docker/cli,Go,5676,https://github.com/docker/cli,SUCCESS,Unknown,False,GitHub Actions,7dab597e6d570e04f7f135793ba4b64fdfbc47a5,2024-12-09T15:49:21Z
docker/compose,Go,36960,https://github.com/docker/compose,FAILURE,GoModules,True,GitHub Actions,8f644eea738349de5687e95b83f91726f30bb812,2024-12-19T10:23:50Z
distribution/distribution,Go,10252,https://github.com/distribution/distribution,SUCCESS,GoModules,True,GitHub Actions,825eeb039d80de6289b97820a90b658af2312c18,2025-01-10T01:54:12Z
moby/swarmkit,Go,3586,https://github.com/moby/swarmkit,FAILURE,GoModules,True,GitHub Actions,e8ecf83ee08e14a05e28992dc304576079d403c7,2024-10-17T19:10:44Z
dominikh/go-tools,Go,6713,https://github.com/dominikh/go-tools,FAILURE,GoModules,True,GitHub Actions,21df14b396f67db2a1ad354e1933f01895c1a00b,2025-01-12T18:54:14Z
dragonflyoss/dragonfly,Go,3030,https://github.com/dragonflyoss/dragonfly,SUCCESS,GoModules,True,GitHub Actions,5a6250ec3dacd8c300ed606fe47be3f6c14558e1,2024-12-23T08:09:52Z
drk1wi/Modlishka,Go,5262,https://github.com/drk1wi/Modlishka,SUCCESS,GoModules,True,GitHub Actions,e539d1061c98cf58c6a23740c84b13bb65364394,2025-05-18T15:28:00Z
dunglas/mercure,Go,5178,https://github.com/dunglas/mercure,SUCCESS,GoModules,True,GitHub Actions,0019f6fc34a877934ff21276a45e92941cdc4478,2024-12-26T07:38:53Z
dunglas/vulcain,Go,3572,https://github.com/dunglas/vulcain,SUCCESS,GoModules,True,GitHub Actions,73e3c45a431c44f7efe7d41437055b134daf4b18,2025-01-08T13:16:18Z
dustin/go-humanize,Go,4798,https://github.com/dustin/go-humanize,SUCCESS,GoModules,True,GitHub Actions,0c01b54a6999461d1dbba94bb676f1fd90c2d2df,2025-03-08T07:10:41Z
dutchcoders/transfer.sh,Go,15790,https://github.com/dutchcoders/transfer.sh,SUCCESS,GoModules,True,GitHub Actions,01f90648ccd71eadb981e771bad0a5d365934752,2025-02-14T12:40:53Z
trufflesecurity/trufflehog,Go,24512,https://github.com/trufflesecurity/trufflehog,SUCCESS,GoModules,True,GitHub Actions,def734a783b2d4542f2b353d326130d618f3c421,2024-12-25T19:14:22Z
elastic/beats,Go,12589,https://github.com/elastic/beats,PENDING,GoModules,True,GitHub Actions,83f5f4e8d6770dc4f87ea02e2e24721851333ad6,2024-12-26T19:00:21Z
elastic/go-elasticsearch,Go,6025,https://github.com/elastic/go-elasticsearch,SUCCESS,GoModules,True,GitHub Actions,b90e96a1b715dc8204821aa899de36ae4996bfe6,2025-01-31T13:19:47Z
elazarl/goproxy,Go,6600,https://github.com/elazarl/goproxy,NO_CI,GoModules,True,GitHub Actions,b229734814e95bc36743615c7d3cfd3a9677bb8a,2024-12-27T11:44:33Z
elves/elvish,Go,6229,https://github.com/elves/elvish,SUCCESS,GoModules,True,GitHub Actions,0b62bf45744e88cd83fd6792ad25041d9189d7b9,2024-12-30T22:54:55Z
