repo,language,stars,path,ci_status,build_tool,is_buildable,primary_ci,first_buildable_sha,first_buildable_date
commixproject/commix,Python,5620,https://github.com/commixproject/commix,SUCCESS,Setup.py,True,GitHub Actions,4231c6222b3d6f807506c1ac7ca019a4062fc820,2025-01-06T06:19:23Z
conan-io/conan,Python,9218,https://github.com/conan-io/conan,FAILURE,Pip/Poetry,True,GitHub Actions,47c3d6e235ffb50facc3d44a79c9fdb3caf2c641,2024-12-27T13:47:54Z
conda/conda,Python,7295,https://github.com/conda/conda,SUCCESS,Pip/Poetry,True,GitHub Actions,2d481c8345d332b72fccf31dae7070e9c123fd8f,2024-10-16T20:26:26Z
ContextLab/hypertools,Python,1882,https://github.com/ContextLab/hypertools,SUCCESS,Pip/Poetry,True,GitHub Actions,591bbd8f76675402e6bb8434eabc44add94c4363,2025-07-09T17:35:42Z
cookiecutter-flask/cookiecutter-flask,Python,4730,https://github.com/cookiecutter-flask/cookiecutter-flask,SUCCESS,Pip/Poetry,True,GitHub Actions,ed544c34d41889612480ae29a154a53bae62cfe1,2024-12-30T12:35:02Z
cookiecutter/cookiecutter,Python,24651,https://github.com/cookiecutter/cookiecutter,SUCCESS,Pip/Poetry,True,GitHub Actions,e1b60a6ecae65cf71c7058527b0e9556fc2a1a65,2025-05-09T01:18:28Z
CorentinJ/Real-Time-Voice-Cloning,Python,59330,https://github.com/CorentinJ/Real-Time-Voice-Cloning,SUCCESS,Pip/Poetry,True,GitHub Actions,8a4584ff049711989a0ebbef23aeabfc93d406eb,2025-09-23T07:21:53Z
cornellius-gp/gpytorch,Python,3828,https://github.com/cornellius-gp/gpytorch,SUCCESS,Pip/Poetry,True,GitHub Actions,1560c8d058723aee49e15795b7ceed431ec9c056,2024-12-06T05:19:05Z
cowrie/cowrie,Python,6161,https://github.com/cowrie/cowrie,FAILURE,Pip/Poetry,True,GitHub Actions,63eeed3f4e2ebc327f4ad43ac2c8e2a8f3ea7bab,2024-12-24T07:01:58Z
crossbario/autobahn-python,Python,2532,https://github.com/crossbario/autobahn-python,SUCCESS,Pip/Poetry,True,GitHub Actions,5fa3ba25ac782576504c99026fb3ad137edda842,2025-06-22T04:35:41Z
crossbario/crossbar,Python,2063,https://github.com/crossbario/crossbar,SUCCESS,Pip/Poetry,True,GitHub Actions,f722a226e75e57511f0eb3771a7bbfadf48f1fdb,2025-01-09T13:53:01Z
arrow-py/arrow,Python,9022,https://github.com/arrow-py/arrow,SUCCESS,Pip/Poetry,True,GitHub Actions,97695bfce6977fb117459600933768827ef23aaf,2025-08-07T04:49:53Z
ctf-wiki/ctf-wiki,Python,9198,https://github.com/ctf-wiki/ctf-wiki,SUCCESS,Pip/Poetry,True,GitHub Actions,1138e3a3302d205dd14519d7e61dbee7867c842a,2025-01-09T16:05:15Z
CTFd/CTFd,Python,6511,https://github.com/CTFd/CTFd,FAILURE,Pip/Poetry,True,GitHub Actions,3895558af0211560fdff4564732b49f1fb77aafb,2024-12-27T18:36:36Z
cuemacro/finmarketpy,Python,3699,https://github.com/cuemacro/finmarketpy,FAILURE,Pip/Poetry,True,GitHub Actions,5721e8c449b4aef7b4c935212e7f1683f71fed75,2025-03-07T17:11:47Z
cupy/cupy,Python,10774,https://github.com/cupy/cupy,FAILURE,Pip/Poetry,True,GitHub Actions,0fc06191609669206c0a0af000cbc54b82fe1ee8,2024-10-02T19:25:48Z
dask/dask,Python,13737,https://github.com/dask/dask,SUCCESS,Pip/Poetry,True,GitHub Actions,fe465e055293851a1920bd9a318c92d1953a8b65,2025-01-02T15:25:30Z
emissary-ingress/emissary,Python,4490,https://github.com/emissary-ingress/emissary,FAILURE,Pip/Poetry,True,GitHub Actions,672c554e1675743d2a17509cf4898f92917a9c28,2025-02-06T23:27:36Z
daviddrysdale/python-phonenumbers,Python,3708,https://github.com/daviddrysdale/python-phonenumbers,SUCCESS,Unknown,False,GitHub Actions,d7fe6c6f1e416797f439beb2ae2bb365360bf340,2025-01-16T07:49:40Z
davidhalter/jedi-vim,Python,5317,https://github.com/davidhalter/jedi-vim,SUCCESS,Unknown,False,GitHub Actions,9c2f9c63d3424972c13b63cd2ab30bf445ce379d,2024-12-27T22:12:06Z
davidhalter/jedi,Python,6111,https://github.com/davidhalter/jedi,SUCCESS,Pip/Poetry,True,GitHub Actions,0315e6ee8f273c25218e1a771928ce82f18a9330,2024-12-28T15:43:05Z
dbcli/mycli,Python,11869,https://github.com/dbcli/mycli,NO_CI,Pip/Poetry,True,GitHub Actions,bb18b0c2f2ed7375efe31d379e616a11c82b1299,2025-04-19T19:42:36Z
dbcli/pgcli,Python,13016,https://github.com/dbcli/pgcli,SUCCESS,Pip/Poetry,True,GitHub Actions,18013c5c5936c9cce4c49003f015e693168600ff,2025-03-05T01:31:45Z
dedupeio/dedupe,Python,4436,https://github.com/dedupeio/dedupe,FAILURE,Pip/Poetry,True,GitHub Actions,54ecfe77d41390da66899596834a2bde3712c966,2024-11-01T16:12:42Z
