repo,language,stars,url,ci_status,build_tool,is_buildable,primary_ci,first_buildable_sha,first_buildable_date
PyO3/pyo3,Rust,15305,https://github.com/PyO3/pyo3,SUCCESS,Cargo,True,GitHub Actions,a93998d6b8288ffba8f6320fb15ae3f1257f2d5b,2024-12-31T21:58:58Z
rayon-rs/rayon,Rust,12657,https://github.com/rayon-rs/rayon,SUCCESS,Cargo,True,GitHub Actions,95eed8b3062b3b81a893a9514693b90c3bb2c99c,2025-04-09T00:16:20Z
rbspy/rbspy,Rust,2554,https://github.com/rbspy/rbspy,SUCCESS,Cargo,True,GitHub Actions,1eacb4f3da1ffb3c04c26ead49297591eddcb2f2,2024-12-26T03:28:40Z
ReFirmLabs/binwalk,Rust,13569,https://github.com/ReFirmLabs/binwalk,SUCCESS,Cargo,True,GitHub Actions,2c4a78ccd8685949ce04a24b4b5e7bff90bca0dd,2025-02-01T22:51:42Z
ruffle-rs/ruffle,Rust,17738,https://github.com/ruffle-rs/ruffle,SUCCESS,Cargo,True,GitHub Actions,05c157651039cd5db2d73ad8ea6634fb9408e5f2,2024-12-26T09:29:36Z
rust-lang/rust-analyzer,Rust,16029,https://github.com/rust-lang/rust-analyzer,SUCCESS,Cargo,True,GitHub Actions,630628f3c81750b818464ef8d80478f759556e79,2025-06-17T09:59:50Z
rust-lang/book,Rust,17368,https://github.com/rust-lang/book,SUCCESS,Cargo,True,GitHub Actions,bbc6a52efb2b1ab89f6e913abf62252f101f51e9,2024-12-30T13:42:22Z
rust-lang/cargo,Rust,14577,https://github.com/rust-lang/cargo,SUCCESS,Cargo,True,GitHub Actions,24388070488952b39e8d3c7d9a707b0d25e8ac7f,2024-12-18T21:44:01Z
rust-lang/futures-rs,Rust,5810,https://github.com/rust-lang/futures-rs,SUCCESS,Cargo,True,GitHub Actions,bbaa0e34e4ab27d89f636ae0c00e2d5745ce4eaf,2025-01-12T16:18:27Z
rust-lang/mdBook,Rust,21148,https://github.com/rust-lang/mdBook,SUCCESS,Cargo,True,GitHub Actions,084771bcd523f6ce8548f7642e28e58c695f61e3,2025-04-23T04:11:54Z
rust-lang/rust-clippy,Rust,12883,https://github.com/rust-lang/rust-clippy,SUCCESS,Cargo,True,GitHub Actions,6f66a6037e4246305559e503a53fd42b83d809b3,2025-02-28T20:19:03Z
rust-lang/rust,Rust,110174,https://github.com/rust-lang/rust,SUCCESS,Cargo,True,GitHub Actions,ff97a6a7f4a357ce95219a414bcd00d6e3d658a8,2026-01-22T10:06:22Z
rust-lang/rustfmt,Rust,6731,https://github.com/rust-lang/rustfmt,SUCCESS,Cargo,True,GitHub Actions,f649c4c1771db3f9a6e4edeabde69978d2c0a340,2025-01-02T03:10:06Z
rust-lang/rustlings,Rust,61765,https://github.com/rust-lang/rustlings,SUCCESS,Cargo,True,GitHub Actions,ed1ee38923adb39c37453721060a8843c98605e7,2024-12-28T15:40:07Z
rust-lang/rustup,Rust,6780,https://github.com/rust-lang/rustup,PENDING,Cargo,True,GitHub Actions,3b7b5e930d3ba4c3809f248fc3f7233dfe3c2048,2024-12-29T07:52:46Z
rust-unofficial/awesome-rust,Rust,55552,https://github.com/rust-unofficial/awesome-rust,SUCCESS,Cargo,True,GitHub Actions,00bf839dfc6052c7d2f2b955a81099fcf15136eb,2024-12-26T13:17:00Z
rusterlium/rustler,Rust,4717,https://github.com/rusterlium/rustler,SUCCESS,Cargo,True,GitHub Actions,47ce1afb943c18c45c1736b5a3663afe433f65c3,2025-01-06T20:51:18Z
RustPython/RustPython,Rust,21773,https://github.com/RustPython/RustPython,SUCCESS,Cargo,True,GitHub Actions,1abaf87abe241da7a9836bd387f2aee33a1d6378,2024-12-30T07:44:55Z
wasm-bindgen/wasm-bindgen,Rust,8846,https://github.com/wasm-bindgen/wasm-bindgen,SUCCESS,Cargo,True,GitHub Actions,eb13ae3769423d1388d7b9fa0e4510981d8cfd53,2024-12-25T09:44:49Z
drager/wasm-pack,Rust,7082,https://github.com/drager/wasm-pack,SUCCESS,Cargo,True,GitHub Actions,a4e5cc0555796939df6d7bab98a050951b9fced5,2025-01-21T06:49:58Z
Schniz/fnm,Rust,23833,https://github.com/Schniz/fnm,SUCCESS,Cargo,True,GitHub Actions,c054f1a7ccb2fe257dcc7ee048e1c131c5efa7f7,2024-12-25T08:20:26Z
serde-rs/serde,Rust,10360,https://github.com/serde-rs/serde,SUCCESS,Cargo,True,GitHub Actions,b6f339ca3676584e1c26028b4040c337b0105e34,2024-12-27T02:33:33Z
rwf2/Rocket,Rust,25658,https://github.com/rwf2/Rocket,SUCCESS,Cargo,True,GitHub Actions,504efef179622df82ba1dbd37f2e0d9ed2b7c9e4,2025-08-31T17:09:31Z
servo/pathfinder,Rust,3861,https://github.com/servo/pathfinder,SUCCESS,Cargo,True,GitHub Actions,9dc1dd918ec83fcc70740d4aa5994a32df590fb6,2025-03-16T21:08:43Z
servo/servo,Rust,35409,https://github.com/servo/servo,PENDING,Cargo,True,GitHub Actions,a13cc1b25a2e06cd544bf657eeff5909801f9e72,2025-07-11T11:08:39Z
